 Experiment N , 100 ,,,,,,,,, bin N ,1000,,aliali,,,,,,,,
,,,,,,,,,,,, 15 ,,,,,,,,,
"""2_DNN_3_None""","""2_Hyperheuristic_3_None""","""5_DNN_3_None""","""5_Hyperheuristic_3_None""","""2_DNN_3_DTS""","""2_Hyperheuristic_3_DTS""","""5_DNN_3_DTS""","""5_Hyperheuristic_3_DTS""",Decima,,,, 429 ," ""2_DNN_3_None"" "," ""2_Hyperheuristic_3_None"" "," ""5_DNN_3_None"" "," ""5_Hyperheuristic_3_None"" "," ""2_DNN_3_DTS"" "," ""2_Hyperheuristic_3_DTS"" "," ""5_DNN_3_DTS"" "," ""5_Hyperheuristic_3_DTS"" ", Decima 
,,,,,,,,,,, 112 , 62 ,100%,43%,100%,51%,96%,55%,97%,51%,100%
,,,,,,,,,,, 113 , 62 ,100%,43%,100%,51%,96%,55%,97%,51%,100%
,,,,,,,,,,, 114 , 62 ,100%,43%,100%,52%,96%,55%,97%,52%,100%
,,,,,,,,,,, 115 , 63 ,100%,43%,100%,52%,96%,55%,97%,52%,100%
,,,,,,,,,,, 116 , 63 ,100%,44%,100%,52%,96%,55%,97%,52%,100%
,,,,,,,,,,, 117 , 64 ,100%,44%,100%,52%,96%,55%,97%,52%,100%
,,,,,,,,,,, 118 , 64 ,100%,44%,100%,52%,96%,55%,97%,52%,100%
,,,,,,,,,,, 119 , 65 ,100%,44%,100%,54%,96%,56%,97%,52%,100%
,,,,,,,,,,, 120 , 65 ,100%,45%,100%,54%,96%,56%,97%,52%,100%
,,,,,,,,,,, 121 , 65 ,100%,45%,100%,54%,96%,56%,97%,52%,100%
,,,,,,,,,,, 122 , 66 ,100%,45%,100%,54%,96%,56%,97%,52%,100%
,,,,,,,,,,, 123 , 66 ,100%,45%,100%,54%,96%,56%,97%,52%,100%
,,,,,,,,,,, 124 , 67 ,100%,45%,100%,54%,96%,56%,97%,52%,100%
,,,,,,,,,,, 125 , 67 ,100%,45%,100%,55%,96%,56%,97%,52%,100%
